is_collector,nodeid,name,description,istopnode,ontologyclass,datatype,nodegroup_id,graph_id,config,issearchable,isrequired,sortorder,fieldname,exportable,alias,hascustomalias,parentproperty,id,elem_name,elem_type,ontologyproperty,card_sortorder,parent_id,child_id,visible,edgeid,card_label,instructions,helptitle,helptext,order,path,ns_path
False,099f196c-df80-11ed-9232-00163e71351b,Bibliographical Item,,True,http://www.cidoc-crm.org/cidoc-crm/E22_Human-Made_Object,semantic,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,{'en': ''},True,False,0,,False,bibliographical_item,False,RDF,099f196c-df80-11ed-9232-00163e71351b,http://www.cidoc-crm.org/cidoc-crm/E22_Human-Made_Object,class,RDF,-1.0,root,099f196c-df80-11ed-9232-00163e71351b,True,,,,,,1,"['root', '099f196c-df80-11ed-9232-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object']"
False,,,,False,,property,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,,,True,,,,,,,6926ef62-ed8d-4121-ba84-2750849069fe,http://www.cidoc-crm.org/cidoc-crm/P67i_is_referred_to_by,property,,0.0,099f196c-df80-11ed-9232-00163e71351b,6926ef62-ed8d-4121-ba84-2750849069fe,True,6926ef62-ed8d-4121-ba84-2750849069fe,,,,,2,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by']"
True,35eb661e-ee5e-11ed-a1e6-00163e71351b,Annotation,,False,http://www.cidoc-crm.org/cidoc-crm/E33_Linguistic_Object,semantic,35eb661e-ee5e-11ed-a1e6-00163e71351b,daaa7b3c-0472-489b-a4b2-b7ba5854345c,{'en': ''},True,False,0,,False,annotation,False,http://www.cidoc-crm.org/cidoc-crm/P67i_is_referred_to_by,35eb661e-ee5e-11ed-a1e6-00163e71351b,http://www.cidoc-crm.org/cidoc-crm/E33_Linguistic_Object,class,,,6926ef62-ed8d-4121-ba84-2750849069fe,35eb661e-ee5e-11ed-a1e6-00163e71351b,True,6926ef62-ed8d-4121-ba84-2750849069fe,{'en': 'Annotatie'},{'en': ''},{'en': ''},{'en': ''},3,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object']"
False,,,,False,,property,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,,,True,,,,,,,35ebbfc4-ee5e-11ed-a1e6-00163e71351b,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,property,,0.0,35eb661e-ee5e-11ed-a1e6-00163e71351b,35ebbfc4-ee5e-11ed-a1e6-00163e71351b,True,35ebbfc4-ee5e-11ed-a1e6-00163e71351b,,,,,4,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b', '35ebbfc4-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object', 'crm:P2_has_type']"
False,35eb6d76-ee5e-11ed-a1e6-00163e71351b,Annotation Type,,False,http://www.cidoc-crm.org/cidoc-crm/E55_Type,resource-instance,35eb661e-ee5e-11ed-a1e6-00163e71351b,daaa7b3c-0472-489b-a4b2-b7ba5854345c,"{'graphs': [{'name': 'Concept', 'graphid': '74c87bc1-8a29-437a-88cc-3f49837dfc4e'}], 'searchDsl': '', 'searchString': ''}",True,False,0,,False,annotation_type,False,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,35eb6d76-ee5e-11ed-a1e6-00163e71351b,http://www.cidoc-crm.org/cidoc-crm/E55_Type,class,,,35ebbfc4-ee5e-11ed-a1e6-00163e71351b,35eb6d76-ee5e-11ed-a1e6-00163e71351b,True,35ebbfc4-ee5e-11ed-a1e6-00163e71351b,{'en': 'Annotatie'},{'en': ''},{'en': ''},{'en': ''},5,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b', '35ebbfc4-ee5e-11ed-a1e6-00163e71351b', '35eb6d76-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object', 'crm:P2_has_type', 'crm:E55_Type']"
False,,,,False,,property,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,,,True,,,,,,,35ebc92e-ee5e-11ed-a1e6-00163e71351b,http://www.w3.org/2000/01/rdf-schema#label,property,,0.0,35eb6d76-ee5e-11ed-a1e6-00163e71351b,35ebc92e-ee5e-11ed-a1e6-00163e71351b,True,35ebc92e-ee5e-11ed-a1e6-00163e71351b,,,,,6,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b', '35ebbfc4-ee5e-11ed-a1e6-00163e71351b', '35eb6d76-ee5e-11ed-a1e6-00163e71351b', '35ebc92e-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object', 'crm:P2_has_type', 'crm:E55_Type', 'rdfs:label']"
False,35eb7578-ee5e-11ed-a1e6-00163e71351b,Annotation Type Label,,False,http://www.w3.org/2001/XMLSchema#string,string,35eb661e-ee5e-11ed-a1e6-00163e71351b,daaa7b3c-0472-489b-a4b2-b7ba5854345c,{'en': ''},True,False,0,,False,annotation_type_label,False,http://www.w3.org/2000/01/rdf-schema#label,35eb7578-ee5e-11ed-a1e6-00163e71351b,http://www.w3.org/2001/XMLSchema#string,class,,,35ebc92e-ee5e-11ed-a1e6-00163e71351b,35eb7578-ee5e-11ed-a1e6-00163e71351b,True,35ebc92e-ee5e-11ed-a1e6-00163e71351b,{'en': 'Annotatie'},{'en': ''},{'en': ''},{'en': ''},7,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b', '35ebbfc4-ee5e-11ed-a1e6-00163e71351b', '35eb6d76-ee5e-11ed-a1e6-00163e71351b', '35ebc92e-ee5e-11ed-a1e6-00163e71351b', '35eb7578-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object', 'crm:P2_has_type', 'crm:E55_Type', 'rdfs:label', 'xsd:string']"
False,,,,False,,property,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,,,True,,,,,,,35ebc2c6-ee5e-11ed-a1e6-00163e71351b,http://www.cidoc-crm.org/cidoc-crm/P72_has_language,property,,0.0,35eb661e-ee5e-11ed-a1e6-00163e71351b,35ebc2c6-ee5e-11ed-a1e6-00163e71351b,True,35ebc2c6-ee5e-11ed-a1e6-00163e71351b,,,,,8,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b', '35ebc2c6-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object', 'crm:P72_has_language']"
False,35eb6fce-ee5e-11ed-a1e6-00163e71351b,Annotation Language,,False,http://www.cidoc-crm.org/cidoc-crm/E56_Language,resource-instance,35eb661e-ee5e-11ed-a1e6-00163e71351b,daaa7b3c-0472-489b-a4b2-b7ba5854345c,"{'graphs': [{'name': 'Concept', 'graphid': '74c87bc1-8a29-437a-88cc-3f49837dfc4e'}], 'searchDsl': '', 'searchString': '', 'rdmCollection': None}",True,False,0,,False,annotation_language,False,http://www.cidoc-crm.org/cidoc-crm/P72_has_language,35eb6fce-ee5e-11ed-a1e6-00163e71351b,http://www.cidoc-crm.org/cidoc-crm/E56_Language,class,,,35ebc2c6-ee5e-11ed-a1e6-00163e71351b,35eb6fce-ee5e-11ed-a1e6-00163e71351b,True,35ebc2c6-ee5e-11ed-a1e6-00163e71351b,{'en': 'Annotatie'},{'en': ''},{'en': ''},{'en': ''},9,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b', '35ebc2c6-ee5e-11ed-a1e6-00163e71351b', '35eb6fce-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object', 'crm:P72_has_language', 'crm:E56_Language']"
False,,,,False,,property,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,,,True,,,,,,,35ebc71c-ee5e-11ed-a1e6-00163e71351b,http://www.w3.org/2000/01/rdf-schema#label,property,,0.0,35eb6fce-ee5e-11ed-a1e6-00163e71351b,35ebc71c-ee5e-11ed-a1e6-00163e71351b,True,35ebc71c-ee5e-11ed-a1e6-00163e71351b,,,,,10,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b', '35ebc2c6-ee5e-11ed-a1e6-00163e71351b', '35eb6fce-ee5e-11ed-a1e6-00163e71351b', '35ebc71c-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object', 'crm:P72_has_language', 'crm:E56_Language', 'rdfs:label']"
