concept,label,comment,identifier,inscheme
https://data.antwerp.be/id/term/adlib-collect/association-person-type,Associatie persoon soort,"","",https://data.antwerp.be/id/term/adlib-collect
https://data.antwerp.be/id/term/adlib-collect/association-subject-type,Associatie onderwerp soort,"
","
",https://data.antwerp.be/id/term/adlib-collect
https://data.antwerp.be/id/term/adlib-collect/collection,Collectie,"
",http://vocab.getty.edu/aat/300025976,https://data.antwerp.be/id/term/adlib-collect
https://data.antwerp.be/id/term/adlib-collect/content-person-name-type,Inhoud peroon naam soort,"
","
",https://data.antwerp.be/id/term/adlib-collect
https://data.antwerp.be/id/term/adlib-collect/content-subject-type,Inhoud onderwerp soort,"
","
",https://data.antwerp.be/id/term/adlib-collect
https://data.antwerp.be/id/term/adlib-collect/objectname,Object naam,"
","
",https://data.antwerp.be/id/term/adlib-collect
https://data.antwerp.be/id/term/adlib-collect/association-person-type/family,Familie,"
",http://vocab.getty.edu/aat/300055474,https://data.antwerp.be/id/term/adlib-collect/association-person-type
https://data.antwerp.be/id/term/adlib-collect/association-person-type/inst,Instelling,"
",http://vocab.getty.edu/aat/300026004,https://data.antwerp.be/id/term/adlib-collect/association-person-type
https://data.antwerp.be/id/term/adlib-collect/association-person-type/person,Persoon,"
",http://vocab.getty.edu/aat/300024979,https://data.antwerp.be/id/term/adlib-collect/association-person-type
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/activ,Activiteit,"
",http://vocab.getty.edu/aat/300404112,https://data.antwerp.be/id/term/adlib-collect/association-subject-type
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/animal,Dier,"
",http://vocab.getty.edu/aat/300249525,https://data.antwerp.be/id/term/adlib-collect/association-subject-type
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/concept,Concept,"
",https://www.wikidata.org/wiki/Q151885,https://data.antwerp.be/id/term/adlib-collect/association-subject-type
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/culture,Cultuur,"
",http://vocab.getty.edu/aat/300055768,https://data.antwerp.be/id/term/adlib-collect/association-subject-type
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/event,Gebeurtenis,"
",http://vocab.getty.edu/aat/300069084,https://data.antwerp.be/id/term/adlib-collect/association-subject-type
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/geokeyw,Geografisch trefwoord,"
",http://vocab.getty.edu/aat/300248479,https://data.antwerp.be/id/term/adlib-collect/association-subject-type
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/object,Objectnaam,"
",http://vocab.getty.edu/aat/300311889,https://data.antwerp.be/id/term/adlib-collect/association-subject-type
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/people,Volk,"
",http://vocab.getty.edu/aat/300192630,https://data.antwerp.be/id/term/adlib-collect/association-subject-type
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/plant,Plant,"
",http://vocab.getty.edu/aat/300132360,https://data.antwerp.be/id/term/adlib-collect/association-subject-type
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/subject,Onderwerp,"
",http://vocab.getty.edu/aat/300404126,https://data.antwerp.be/id/term/adlib-collect/association-subject-type
https://data.antwerp.be/id/term/adlib-collect/content-person-name-type/inst,Instelling,"
",http://vocab.getty.edu/aat/300026004,https://data.antwerp.be/id/term/adlib-collect/content-person-name-type
https://data.antwerp.be/id/term/adlib-collect/content-person-name-type/person,Persoon,"
",http://vocab.getty.edu/aat/300024979,https://data.antwerp.be/id/term/adlib-collect/content-person-name-type
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/activ,Activiteit,"
",http://vocab.getty.edu/aat/300404112,https://data.antwerp.be/id/term/adlib-collect/content-subject-type
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/animal,Dier,"
",http://vocab.getty.edu/aat/300249525,https://data.antwerp.be/id/term/adlib-collect/content-subject-type
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/concept,Concept,"
",https://www.wikidata.org/wiki/Q151885,https://data.antwerp.be/id/term/adlib-collect/content-subject-type
