concept,label,comment,identifier,inscheme,no_priref,no_occ,code
https://data.antwerp.be/id/term/adlib-people/gender/unknown,niet gekend,, ,https://data.antwerp.be/id/term/adlib-people/gender,8,8,unknown
https://data.antwerp.be/id/term/adlib-collect/association-person-type/person,persoon,,http://vocab.getty.edu/aat/300024979,https://data.antwerp.be/id/term/adlib-collect/association-person-type,2313,2621,person
https://data.antwerp.be/id/term/adlib-thesau/term-type/mater,materiaal,,http://vocab.getty.edu/aat/300010358,https://data.antwerp.be/id/term/adlib-thesau/term-type,739,739,mater
https://data.antwerp.be/id/term/adlib-collect/content-person-name-type/person,persoon,,http://vocab.getty.edu/aat/300024979,https://data.antwerp.be/id/term/adlib-collect/content-person-name-type,614,784,person
https://data.antwerp.be/id/term/adlib-people/name-type/person,persoon,,http://vocab.getty.edu/aat/300024979,https://data.antwerp.be/id/term/adlib-people/name-type,26458,26458,person
https://data.antwerp.be/id/term/adlib-people/name-type/illus,illustrator,,http://vocab.getty.edu/aat/300025123,https://data.antwerp.be/id/term/adlib-people/name-type,4,4,illus
https://data.antwerp.be/id/term/adlib-people/name-type/auctioneer,veilingmeester,,http://vocab.getty.edu/aat/300025208,https://data.antwerp.be/id/term/adlib-people/name-type,88,88,auctioneer
https://data.antwerp.be/id/term/adlib-people/name-type/donor,donor,,http://vocab.getty.edu/aat/300025240,https://data.antwerp.be/id/term/adlib-people/name-type,177,177,donor
https://data.antwerp.be/id/term/adlib-people/name-type/supplier,leverancier,,http://vocab.getty.edu/aat/300025252,https://data.antwerp.be/id/term/adlib-people/name-type,1,1,supplier
https://data.antwerp.be/id/term/adlib-people/name-type/author,auteur,,http://vocab.getty.edu/aat/300025492,https://data.antwerp.be/id/term/adlib-people/name-type,317,317,author
https://data.antwerp.be/id/term/adlib-people/name-type/publ,uitgever,,http://vocab.getty.edu/aat/300025574,https://data.antwerp.be/id/term/adlib-people/name-type,131,131,publ
https://data.antwerp.be/id/term/adlib-people/name-type/curator,curator,,http://vocab.getty.edu/aat/300025633,https://data.antwerp.be/id/term/adlib-people/name-type,149,149,curator
https://data.antwerp.be/id/term/adlib-people/name-type/printer,drukker,,http://vocab.getty.edu/aat/300025732,https://data.antwerp.be/id/term/adlib-people/name-type,141,141,printer
https://data.antwerp.be/id/term/adlib-people/name-type/valuer,taxateur,,http://vocab.getty.edu/aat/300025829,https://data.antwerp.be/id/term/adlib-people/name-type,115,115,valuer
https://data.antwerp.be/id/term/adlib-people/name-type/shipper,transporteur,,http://vocab.getty.edu/aat/300025875,https://data.antwerp.be/id/term/adlib-people/name-type,3,3,shipper
https://data.antwerp.be/id/term/adlib-people/name-type/collect,collectioneur,,http://vocab.getty.edu/aat/300025976,https://data.antwerp.be/id/term/adlib-people/name-type,42,42,collect
https://data.antwerp.be/id/term/adlib-thesau/term-type/coll,collectie,,http://vocab.getty.edu/aat/300025976,https://data.antwerp.be/id/term/adlib-thesau/term-type,321,321,coll
https://data.antwerp.be/id/term/adlib-collect/association-person-type/inst,instelling,,http://vocab.getty.edu/aat/300026004,https://data.antwerp.be/id/term/adlib-collect/association-person-type,398,444,inst
https://data.antwerp.be/id/term/adlib-collect/content-person-name-type/inst,instelling,,http://vocab.getty.edu/aat/300026004,https://data.antwerp.be/id/term/adlib-collect/content-person-name-type,2,2,inst
https://data.antwerp.be/id/term/adlib-people/name-type/inst,instelling,,http://vocab.getty.edu/aat/300026004,https://data.antwerp.be/id/term/adlib-people/name-type,5668,5669,inst
https://data.antwerp.be/id/term/adlib-thesau/term-type/research,onderzoek/gebruik methode,,http://vocab.getty.edu/aat/300054687,https://data.antwerp.be/id/term/adlib-thesau/term-type,1,1,research
https://data.antwerp.be/id/term/adlib-thesau/term-type/transport,transport,,http://vocab.getty.edu/aat/300055244,https://data.antwerp.be/id/term/adlib-thesau/term-type,2,2,transport
https://data.antwerp.be/id/term/adlib-collect/association-person-type/family,familie,,http://vocab.getty.edu/aat/300055474,https://data.antwerp.be/id/term/adlib-collect/association-person-type,2,2,family
https://data.antwerp.be/id/term/adlib-people/name-type/family,familie,,http://vocab.getty.edu/aat/300055474,https://data.antwerp.be/id/term/adlib-people/name-type,11,11,family
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/culture,cultuur,,http://vocab.getty.edu/aat/300055768,https://data.antwerp.be/id/term/adlib-collect/association-subject-type,3,3,culture
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/event,gebeurtenis,,http://vocab.getty.edu/aat/300069084,https://data.antwerp.be/id/term/adlib-collect/association-subject-type,1055,1055,event
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/event,gebeurtenis,,http://vocab.getty.edu/aat/300069084,https://data.antwerp.be/id/term/adlib-collect/content-subject-type,1,1,event
https://data.antwerp.be/id/term/adlib-thesau/term-type/event,gebeurtenis,,http://vocab.getty.edu/aat/300069084,https://data.antwerp.be/id/term/adlib-thesau/term-type,12,12,event
https://data.antwerp.be/id/term/adlib-thesau/term-type/period,periode,,http://vocab.getty.edu/aat/300081446,https://data.antwerp.be/id/term/adlib-thesau/term-type,318,318,period
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/plant,plant,,http://vocab.getty.edu/aat/300132360,https://data.antwerp.be/id/term/adlib-collect/association-subject-type,10,10,plant
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/plant,plant,,http://vocab.getty.edu/aat/300132360,https://data.antwerp.be/id/term/adlib-collect/content-subject-type,2,2,plant
https://data.antwerp.be/id/term/adlib-thesau/term-type/techn,techniek,,http://vocab.getty.edu/aat/300138082,https://data.antwerp.be/id/term/adlib-thesau/term-type,276,276,techn
https://data.antwerp.be/id/term/adlib-people/gender/female,vrouw,,http://vocab.getty.edu/aat/300189557,https://data.antwerp.be/id/term/adlib-people/gender,1698,1698,female
https://data.antwerp.be/id/term/adlib-people/gender/male,man,,http://vocab.getty.edu/aat/300189559,https://data.antwerp.be/id/term/adlib-people/gender,10691,10691,male
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/people,volk,,http://vocab.getty.edu/aat/300192630,https://data.antwerp.be/id/term/adlib-collect/association-subject-type,4,4,people
