concept,label,comment,identifier,inscheme
https://data.antwerp.be/id/term/aspace-agents/identifier-type,,,,https://data.antwerp.be/id/term/aspace-agents
https://data.antwerp.be/id/term/aspace-agents/agent-type,,,,https://data.antwerp.be/id/term/aspace-agents
https://data.antwerp.be/id/term/aspace-collect/date-type,,,,https://data.antwerp.be/id/term/aspace-collect
https://data.antwerp.be/id/term/aspace-collect/extent-type,,,,https://data.antwerp.be/id/term/aspace-collect
https://data.antwerp.be/id/term/aspace-collect/language,,,,https://data.antwerp.be/id/term/aspace-collect
https://data.antwerp.be/id/term/aspace-collect/level,,,,https://data.antwerp.be/id/term/aspace-collect
https://data.antwerp.be/id/term/aspace-collect/role,,,,https://data.antwerp.be/id/term/aspace-collect
https://data.antwerp.be/id/term/aspace-collect/note-type,,,,https://data.antwerp.be/id/term/aspace-collect
https://data.antwerp.be/id/term/aspace-collect/restrictions-apply,,,,https://data.antwerp.be/id/term/aspace-collect
https://data.antwerp.be/id/term/aspace-collect/setspec,,,,https://data.antwerp.be/id/term/aspace-collect
https://data.antwerp.be/id/term/aspace-thesau/term-type,,,,https://data.antwerp.be/id/term/aspace-thesau
