concept,label,comment,identifier,inscheme,no_cloi,no_occ,code,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/viaf,Virtual International Authority File,http://viaf.org/http://viaf.org/viaf/,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,61916,61916,viaf,l International Authority File
https://data.antwerp.be/id/term/brocade-authorities/att-ty/aatrecordtype,Art & Architecture Thesaurus record type,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,44813,44813,aatrecordtype,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/aathierarchy,Art & Architecture Thesaurus hiërarchie,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,44749,44749,aathierarchy,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/aatsubjectid,Art & Architecture Thesaurus onderwerp nummer,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,44749,44749,aatsubjectid,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/vabb,Vlaams Academisch Bibliografisch Bestand,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,42365,44064,vabb,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/rkd,Nederlands Instituut voor Kunstgeschiedenis,https://rkd.nl/explore/artists/,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,24563,24563,rkd,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/agrippa,,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,16748,16748,agrippa,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/url,Uniform Resource Locator,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,16273,16275,url,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/orcid,Open Researcher and Contributor ID,https://orcid.org/,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,11731,11731,orcid,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/abua,,https://repository.uantwerpen.be/acadbib/irua/,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,7131,7131,abua,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/dbpedia,Dbpedia,https://dbpedia.org/page/,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,6803,6803,dbpedia,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/kmskadata,,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,6722,6722,kmskadata,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/kmskawork,,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,6667,6667,kmskawork,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/rubnumber,,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,6316,6316,rubnumber,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/geotype,,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,3933,3933,geotype,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/vodscode,,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,2924,2924,vodscode,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/cerl,Consortium of European Research Libraries,https://data.cerl.org/thesaurus/,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,2897,2897,cerl,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/dbnl,Digitale Bibliotheek voor de Nederlandse Letteren,https://www.dbnl.org/auteurs/auteur.php?id=,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,2830,2830,dbnl,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/rub,,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,1892,1892,rub,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/midnumber,,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,1311,1311,midnumber,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/udc,,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,968,968,udc,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/googlescholarid,Google Scholar,https://scholar.google.be/citations?user=,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,492,492,googlescholarid,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/ucttype,,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,309,309,ucttype,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/resid,,http://www.researcherid.com/rid/,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,300,300,resid,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/bpn,Biografisch Portaal Nederland,http://www.biografischportaal.nl/en/persoon/,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,297,297,bpn,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/scopusid,,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,272,272,scopusid,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/stcn,,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,130,130,stcn,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/grovemusic,Grove Music Online,https://doi.org/10.1093/gmo/9781561592630.article.,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,82,82,grovemusic,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/bbkl,,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,70,70,bbkl,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/cvgwork,,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,56,56,cvgwork,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/rubens,,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,35,35,rubens,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/cathen,,https://www.newadvent.org/cathen/,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,34,34,cathen,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/lugtmarques,,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,11,11,lugtmarques,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/abluc,,,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,9,9,abluc,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/galileo,Catholic Encyclopedia,http://galileo.rice.edu/Catalog/NewFiles/,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,4,4,galileo,
https://data.antwerp.be/id/term/brocade-authorities/att-ty/odis,,https://www.odis.be,,https://data.antwerp.be/id/term/brocade-authorities/att-ty,2,2,odis,
https://data.antwerp.be/id/term/brocade-authorities/rel-ty/n,Nauwere termen,,http://vocab.getty.edu/aat/300417475,https://data.antwerp.be/id/term/brocade-authorities/rel-ty,25423,862930,n,
https://data.antwerp.be/id/term/brocade-authorities/rel-ty/b,Bredere termen,,http://vocab.getty.edu/aat/300417474,https://data.antwerp.be/id/term/brocade-authorities/rel-ty,239617,862929,b,
https://data.antwerp.be/id/term/brocade-authorities/rel-ty/r,Verwante termen,,http://vocab.getty.edu/aat/300417473,https://data.antwerp.be/id/term/brocade-authorities/rel-ty,22808,35429,r,
https://data.antwerp.be/id/term/brocade-authorities/scope-ty/bio,Biografie,,http://vocab.getty.edu/aat/300055908,https://data.antwerp.be/id/term/brocade-authorities/scope-ty,142962,143173,bio,
https://data.antwerp.be/id/term/brocade-authorities/scope-ty/aat,Art & Architecture Thesaurus,,,https://data.antwerp.be/id/term/brocade-authorities/scope-ty,39612,67644,aat,
https://data.antwerp.be/id/term/brocade-authorities/scope-ty/kunst,Kunstwerk,,http://vocab.getty.edu/aat/300417586,https://data.antwerp.be/id/term/brocade-authorities/scope-ty,16610,16612,kunst,
https://data.antwerp.be/id/term/brocade-authorities/scope-ty/algemeen,Algemeen,,,https://data.antwerp.be/id/term/brocade-authorities/scope-ty,10911,11337,algemeen,
https://data.antwerp.be/id/term/brocade-authorities/scope-ty/bezetting,Bezetting,,,https://data.antwerp.be/id/term/brocade-authorities/scope-ty,5006,5006,bezetting,
