concept;parent;label;comment;aat_identifier
https://data.antwerp.be/id/def/;https://data.antwerp.be/id/term/Datahub;Antwerp Definitions;;
https://data.antwerp.be/id/def/achternaam;https://data.antwerp.be/id/def/;naam achternaam;;http://vocab.getty.edu/aat/300404652
https://data.antwerp.be/id/def/alias;https://data.antwerp.be/id/def/;naam alias;;http://vocab.getty.edu/aat/300404664
https://data.antwerp.be/id/def/archief;https://data.antwerp.be/id/def/;archief;;http://vocab.getty.edu/aat/300312242
https://data.antwerp.be/id/def/beschrijving;https://data.antwerp.be/id/def/;beschrijving;;http://vocab.getty.edu/aat/300435416
https://data.antwerp.be/id/def/bewaring;https://data.antwerp.be/id/def/;bewaring;;http://vocab.getty.edu/aat/300404519
https://data.antwerp.be/id/def/bibliotheek;https://data.antwerp.be/id/def/;bibliotheek;;http://vocab.getty.edu/aat/300312241
https://data.antwerp.be/id/def/biografie;https://data.antwerp.be/id/def/;biografie;;http://vocab.getty.edu/aat/300435422
https://data.antwerp.be/id/def/citaat;https://data.antwerp.be/id/def/;citaat;;http://vocab.getty.edu/aat/300435423
https://data.antwerp.be/id/def/collectioneur;https://data.antwerp.be/id/def/;collectioneur;;http://vocab.getty.edu/aat/300435149
https://data.antwerp.be/id/def/convoluut;https://data.antwerp.be/id/def/;convoluut;;http://vocab.getty.edu/aat/300391488
https://data.antwerp.be/id/def/department;https://data.antwerp.be/id/def/;department;;http://vocab.getty.edu/aat/300263534
https://data.antwerp.be/id/def/museum;https://data.antwerp.be/id/def/;museum;;http://vocab.getty.edu/aat/300312281
https://data.antwerp.be/id/def/niet-publiek;https://data.antwerp.be/id/def/;niet publiek;;http://vocab.getty.edu/aat/300444973
https://data.antwerp.be/id/def/onderdeel;https://data.antwerp.be/id/def/;onderdeel;;http://vocab.getty.edu/aat/300241583
https://data.antwerp.be/id/def/stijl;https://data.antwerp.be/id/def/;stijl/genre;;http://vocab.getty.edu/aat/300056462
https://data.antwerp.be/id/def/voornaam;https://data.antwerp.be/id/def/;naam voornaam;;http://vocab.getty.edu/aat/300404651
https://data.antwerp.be/id/term/adlib-collect;https://data.antwerp.be/id/term/Datahub;Adlib;;
https://data.antwerp.be/id/term/adlib-collect/association-person-type;https://data.antwerp.be/id/term/adlib-collect;Agent Association type (adlib);;
https://data.antwerp.be/id/term/adlib-collect/association-person-type/family;https://data.antwerp.be/id/term/adlib-collect/association-person-type;Familie;;http://vocab.getty.edu/aat/300055474
https://data.antwerp.be/id/term/adlib-collect/association-person-type/inst;https://data.antwerp.be/id/term/adlib-collect/association-person-type;Instelling;;http://vocab.getty.edu/aat/300026004
https://data.antwerp.be/id/term/adlib-collect/association-person-type/person;https://data.antwerp.be/id/term/adlib-collect/association-person-type;Persoon;;http://vocab.getty.edu/aat/300024979
https://data.antwerp.be/id/term/adlib-collect/association-subject-type;https://data.antwerp.be/id/term/adlib-collect;Association Onderwerp type;;
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/activ;https://data.antwerp.be/id/term/adlib-collect/association-subject-type;Activiteit;;http://vocab.getty.edu/aat/300404112
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/animal;https://data.antwerp.be/id/term/adlib-collect/association-subject-type;Dier;;http://vocab.getty.edu/aat/300249525
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/concept;https://data.antwerp.be/id/term/adlib-collect/association-subject-type;Concept;;https://www.wikidata.org/wiki/Q151885
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/culture;https://data.antwerp.be/id/term/adlib-collect/association-subject-type;Cultuur;;http://vocab.getty.edu/aat/300055768
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/event;https://data.antwerp.be/id/term/adlib-collect/association-subject-type;Gebeurtenis;;http://vocab.getty.edu/aat/300069084
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/geokeyw;https://data.antwerp.be/id/term/adlib-collect/association-subject-type;Geografisch trefwoord;;http://vocab.getty.edu/aat/300248479
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/object;https://data.antwerp.be/id/term/adlib-collect/association-subject-type;Objectnaam;;http://vocab.getty.edu/aat/300311889
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/people;https://data.antwerp.be/id/term/adlib-collect/association-subject-type;Volk;;http://vocab.getty.edu/aat/300192630
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/plant;https://data.antwerp.be/id/term/adlib-collect/association-subject-type;Plant;;http://vocab.getty.edu/aat/300132360
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/subject;https://data.antwerp.be/id/term/adlib-collect/association-subject-type;Onderwerp;;http://vocab.getty.edu/aat/300404126
https://data.antwerp.be/id/term/adlib-collect/collection;https://data.antwerp.be/id/term/adlib-collect;Collectie;;http://vocab.getty.edu/aat/300025976
https://data.antwerp.be/id/term/adlib-collect/content-person-name-type;https://data.antwerp.be/id/term/adlib-collect/collection;Agent Collection type (adlib);;
https://data.antwerp.be/id/term/adlib-collect/content-person-name-type/inst;https://data.antwerp.be/id/term/adlib-collect/content-person-name-type;Instelling;;http://vocab.getty.edu/aat/300026004
https://data.antwerp.be/id/term/adlib-collect/content-person-name-type/person;https://data.antwerp.be/id/term/adlib-collect/content-person-name-type;Persoon;;http://vocab.getty.edu/aat/300024979
https://data.antwerp.be/id/term/adlib-collect/content-subject-type;https://data.antwerp.be/id/term/adlib-collect;Content Onderwerp type;;
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/activ;https://data.antwerp.be/id/term/adlib-collect/content-subject-type;Activiteit;;http://vocab.getty.edu/aat/300404112
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/animal;https://data.antwerp.be/id/term/adlib-collect/content-subject-type;Dier;;http://vocab.getty.edu/aat/300249525
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/concept;https://data.antwerp.be/id/term/adlib-collect/content-subject-type;Concept;;https://www.wikidata.org/wiki/Q151885
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/event;https://data.antwerp.be/id/term/adlib-collect/content-subject-type;Gebeurtenis;;http://vocab.getty.edu/aat/300069084
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/geokeyw;https://data.antwerp.be/id/term/adlib-collect/content-subject-type;Geografisch trefwoord;;http://vocab.getty.edu/aat/300248479
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/object;https://data.antwerp.be/id/term/adlib-collect/content-subject-type;Objectnaam;;http://vocab.getty.edu/aat/300311889
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/people;https://data.antwerp.be/id/term/adlib-collect/content-subject-type;Volk;;http://vocab.getty.edu/aat/300192630
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/plant;https://data.antwerp.be/id/term/adlib-collect/content-subject-type;Plant;;http://vocab.getty.edu/aat/300132360
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/subject;https://data.antwerp.be/id/term/adlib-collect/content-subject-type;Onderwerp;;http://vocab.getty.edu/aat/300404126
https://data.antwerp.be/id/term/adlib-collect/objectname;https://data.antwerp.be/id/term/adlib-collect;Object type;;http://vocab.getty.edu/aat/300435443
https://data.antwerp.be/id/term/adlib-location;https://data.antwerp.be/id/term/adlib-collect;Locatie (adlib);;
https://data.antwerp.be/id/term/adlib-location/location-type;https://data.antwerp.be/id/term/adlib-location;Locatie type;;
https://data.antwerp.be/id/term/adlib-location/location-type/benb;https://data.antwerp.be/id/term/adlib-location/location-type;Behoud en beheer;;
https://data.antwerp.be/id/term/adlib-location/location-type/collectiepaviljoen;https://data.antwerp.be/id/term/adlib-location/location-type;Collectiepaviljoen;;
https://data.antwerp.be/id/term/adlib-location/location-type/depot;https://data.antwerp.be/id/term/adlib-location/location-type;Depot;;http://vocab.getty.edu/aat/300312279
https://data.antwerp.be/id/term/adlib-location/location-type/ex-situ;https://data.antwerp.be/id/term/adlib-location/location-type;Ex situ;;
https://data.antwerp.be/id/term/adlib-location/location-type/extern;https://data.antwerp.be/id/term/adlib-location/location-type;Extern;;
https://data.antwerp.be/id/term/adlib-location/location-type/kunstpark;https://data.antwerp.be/id/term/adlib-location/location-type;Kunstpark;;
https://data.antwerp.be/id/term/adlib-location/location-type/loanl;https://data.antwerp.be/id/term/adlib-location/location-type;Langdurige bruikleen;;
https://data.antwerp.be/id/term/adlib-location/location-type/loant;https://data.antwerp.be/id/term/adlib-location/location-type;Tijdelijke bruikleen;;
https://data.antwerp.be/id/term/adlib-location/location-type/onbek;https://data.antwerp.be/id/term/adlib-location/location-type;Onbekend;;
https://data.antwerp.be/id/term/adlib-location/location-type/opstel;https://data.antwerp.be/id/term/adlib-location/location-type;Permanente opstelling;;http://vocab.getty.edu/aat/300311710
https://data.antwerp.be/id/term/adlib-location/location-type/opstelt;https://data.antwerp.be/id/term/adlib-location/location-type;Tijdelijke opstelling;;
https://data.antwerp.be/id/term/adlib-location/location-type/publnot;https://data.antwerp.be/id/term/adlib-location/location-type;Niet-publieke ruimte;;
https://data.antwerp.be/id/term/adlib-location/location-type/transit;https://data.antwerp.be/id/term/adlib-location/location-type;Transit;;
https://data.antwerp.be/id/term/adlib-location/package-location;https://data.antwerp.be/id/term/adlib-location;Verpakking of standplaats;;http://vocab.getty.edu/aat/300008347
https://data.antwerp.be/id/term/adlib-location/package-location/location;https://data.antwerp.be/id/term/adlib-location/package-location;Lokatie;;http://vocab.getty.edu/aat/300248479
https://data.antwerp.be/id/term/adlib-location/package-location/package;https://data.antwerp.be/id/term/adlib-location/package-location;Verpakking;;http://vocab.getty.edu/aat/300404445
